PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Direction,Activity Qualifier,Qualified AC50,Log of AC50,Hill Coefficient,Curve R2,Data Type,Compound Type,Compound QC,Data Analysis QC,NCGC Comment,Curve Fit Model,Hill S0,Hill Sinf,Hill dS,Log AC50 Std Error,Curve Chi2f,Excluded Points,Number of Points,Activity at 0.732nM,Activity at 1.636nM,Activity at 3.658nM,Activity at 8.18nM,Activity at 18.291nM,Activity at 0.041uM,Activity at 0.091uM,Activity at 0.204uM,Activity at 0.457uM,Activity at 1.022uM,Activity at 2.286uM,Activity at 5.111uM,Activity at 11.429uM,Activity at 25.556uM,Activity at 0.057mM
4811,4240258,3235364,CC(=O)N1CCC2(CCN(CC2)C3=NC=CC=N3)CC1,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,1.8,,2.6,,-2.2,,-6.1,,-2.2,,-10.2
4812,4266540,3247196,COC1=CC=C(C=C1)C[C@@]2([C@@H]3[C@@H](CC4=C3C=C(N4CCO)C(=O)N5CCCC5)CN2C(=O)C6=CC=CC=C6)C(=O)OC,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,,,,,-5.1,,,,-8.4,,-7.3,,-8.2,,-6.6,,-10.2
4813,11111066,2995,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,-4.5,-3.5,-1.1,-0.4,7.9,6,-2.5,-9.4,-35.4,1.2,-1.4,-0.3,-4.9,-8.8,-10.2
4814,11111582,202478,CCCN1CCC[C@@H](C1)C2=CC(=CC=C2)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0,,-4.4,-4.7,-1.4,4.6,2,1.7,-2.2,-0.2,-28.6,-0.9,1.2,-3.1,-16.6,-5.2,-10.2
4815,11111877,5289501,C/C(=C\C1=CC=C(C=C1)C(=O)O)/C2=CC3=C(C=C2)C(CCC3(C)C)(C)C,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,3.8,6.4,6.8,1.6,-7.5,3.9,5.1,1.8,5.9,6.8,13.4,7,-3.6,7.4,-10.2
4816,11112013,6604087,C1C(=C(N2[C@@H](S1)[C@@H](C2=O)NC(=O)[C@H](C3=CC=CC=C3)S(=O)(=O)[O-])C(=O)[O-])C[N+]4=CC=C(C=C4)C(=O)N.[Na+],Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,4.7,-0.3,-8.7,-6.7,-7,-2.4,-5,-2,-10.5,-5.5,-3,-9.4,-12,-7.9,-10.2
4817,11112044,6604126,CS(=O)(=O)O.C1CCC(CC1)(C2=CC(=CC=C2)N=C=S)N3CCCCC3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,-3.9,-2.5,-1.3,1.3,-4.5,-1.9,3.9,-4,-4.3,-7.4,-5.4,-3.8,0.7,-8,-10.2
4818,4237713,3232826,CC(C)NC(=O)N1CCC2(CCN(CC2)C(=O)C3=CC=NC=C3)CC1,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-2.3,,-0.3,,1.7,,7.5,,-2.1,,-10.1
4819,4238630,3233739,C1CC2(CCN(CC2)C(=O)C3=NC=CN=C3)CN(C1)C4=CC=NC=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-2.7,,-3.3,,-3.8,,-0.2,,-5.6,,-10.1
4820,4240034,3235141,CS(=O)(=O)N1CCC2(CC1)CN(C2)CC3=CC=NC=C3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,5.2,,-6,,-1.5,,-4.4,,-7.7,,-10.1
4821,4240210,3235316,C1CN(CCC12CCN(CC2)C(=O)C3=NC=CN=C3)CC4=CC=CC=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-1.4,,-2.8,,-4.8,,-2,,-6.6,,-10.1
4822,4266491,3247147,CN(C)C(=O)C1=CC2=C(N1CC3=CC(=C(C=C3)OC)OC)C[C@@H]4[C@H]2[C@](N(C4)C(=O)C5=CC=CC=C5)(CC6=CC=C(C=C6)OC)C(=O)OC,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,,,,,-8.1,,,,-2.2,,2.8,,-6.7,,-2.2,,-10.1
4823,4266700,3247356,C[C@H]([C@H]1C[C@]1(C)[C@@H](C2=CC=CC=C2)NS(=O)(=O)C3=CC=CC=C3)C(=O)NC4=CC5=CC=CC=C5C=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,,,,,,,2.4,,-5,,0.7,,-4.2,,-8.9,,-10.1
4824,11110845,248,C[N+](C)(C)CC(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,3.4,-3.2,-3.8,-5.8,-0.7,-3.1,-2.5,-4.1,-3.9,-3.3,-2.4,-6.7,-12.9,-7.2,-10.1
4825,11110973,6603782,CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2Cl)Cl)C3=CC=C(C=C3)Cl,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,4.9,6.8,-5,2.1,-1.3,1.8,-2.6,-3.6,-0.7,-4.4,0.9,-10.5,-11.4,-12.7,-10.1
4826,11111396,66374,C1CSC2=N[C@@H](CN21)C3=CC=CC=C3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,-11.5,-6.7,0.5,7.7,8.3,8.8,-0.9,4.3,-0.2,3.1,-2.9,-2.3,-1.4,-11,-10.1
4827,11111728,5312145,CNC1=CC(=NC(=N1)NC)NS(=O)(=O)C2=CC=C(C=C2)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,3.8,-1.9,-3.4,-9,-6.2,0.2,-6,-8.3,-2.5,-1.1,-3.8,-6.3,-12.7,-5.9,-10.1
4828,11113173,676392,CN1CC[C@@]23C=C[C@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Timtec,,Analysis Verified,Inactive,,,,,,,,,-2.7,-0.2,0.3,-7.7,3.6,6.9,8.7,0.2,1.7,1.8,1,-3.8,-3,-5.3,-10.1
4829,4238673,3233782,COC(=O)N1CCC[C@]2(C1)CCN(C2)CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-17.4,,-12.2,,-5.9,,-6.6,,-10.1,,-10
4830,4239150,3234257,C1C[C@@]2(CCN(C2)CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)CN(C1)C(=O)C4=CSN=N4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-1.7,,-5.9,,4.7,,-4.4,,-4.7,,-10
4831,11111227,3521,C(CSSCCN=C(N)N)N=C(N)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,6.3,1.9,3.2,-3.9,-2,-1.5,5.4,2.3,-1.6,0.8,-4.4,-5.4,-10.6,-4.4,-10
4832,11111253,6603867,CCCN(CCC)[C@@H]1CCC2=C(C1)C=C(C=C2)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,7.3,6.5,-6.1,-6.9,-25.4,-0.7,6,8.3,0.7,-1.2,6.6,-1.9,-6.4,1,-10
4833,4266550,3247206,CN(C)C(=O)C1=CC2=C(N1CC3=CC=CC=N3)C[C@@H]4[C@H]2[C@](N(C4)C(=O)C5=CC=CC=C5)(CC6=CC=CC=C6)C(=O)OC,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,,,,,5.4,,,,-2.3,,-5.6,,-5.8,,-7.5,,-9.9
4834,11110950,2720,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,8,-2.1,-2.9,-5.7,-2.5,-3.2,4.1,4.9,-6,-4.4,1.4,-7.9,-11.7,-6.1,-9.9
4835,11110960,21907,CN1[C@H](CCC1=O)C2=CN=CC=C2,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,1.9,-0.7,3,0.9,-1.3,-0.5,2.5,6.4,2.2,0.3,5,-6.2,-1.3,1.7,-9.9
4836,11111272,6603871,CC(=O)[C@]1(CC[C@H]2[C@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@@]34C)C)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,4,-7.1,-1.3,-1.2,-5.8,0.6,1,-1.8,0.3,-0.2,-0.7,-5.3,-8.2,-4.7,-9.9
4837,11112650,4893,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Timtec,,Analysis Verified,Inactive,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-5.6,6.1,4.3,3.9,9.1,11,12.6,12.1,6.6,13.2,10,5.3,2.5,2,-9.9
4838,11113934,6603742,C[C@@H]1C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4([C@@]3([C@H](C[C@]2([C@]1(C(=O)CO)O)C)O)F)C,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Inactive,,,,,,,0 0 0 1 0 0 0 0 0 0 1 0 0 0 0,,1.7,10.8,5.5,-11.5,11.1,11.4,6.9,2.8,2.2,10.6,16.8,4.1,5,-0.4,-9.9
4839,11114076,285033,CC(C)(CCC[C@@](CC(=O)OC)(C(=O)O[C@H]1[C@H]2C3=CC4=C(C=C3CCN5[C@@]2(CCC5)C=C1OC)OCO4)O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-3.3,-1.3,1.3,6.5,16.8,13.3,10.3,10.3,8.4,9.9,9.3,10.3,13.5,7.4,-9.9
4840,11114083,6604867,C1C[C@H]2[C@@H](C1)[C@@H]3C[C@H]2C[C@H]3OC(=S)[S-].[K+],Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-7.5,-3.5,2.7,6.3,17.2,10.2,13.7,11.4,13.7,13.3,12.2,11.1,10.1,5.4,-9.9
4841,4237738,3232851,C1CNCCC12CCN(CC2)CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-7.2,,-3,,-4.3,,5.3,,-1.5,,-9.8
4842,4237897,3233010,COC(=O)N1CCC2(CC1)CN(C2)C3=CC=CC=N3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-12.6,,-7.3,,0.1,,6.1,,8.1,,-9.8
4843,4239583,3234690,C1C[C@@]2(CCN(C2)C(=O)NC3=CC=CC(=C3)C#N)CN(C1)C(=O)C4=CC=CO4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-0.9,,2.5,,4.7,,2.3,,-7.2,,-9.8
4844,4239726,3234833,COCC(=O)N1CCC2(CCCN(C2)C(=O)NC3=CC=CC=C3)CC1,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,1.4,,2.2,,0.5,,-1.9,,-4.9,,-9.8
4845,11111030,6603803,CCCC[C@@]1(CC2=CC(=C(C(=C2C1=O)Cl)Cl)OCC(=O)O)C3CCCC3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,10.5,2.4,2.4,-7.3,1,-1.9,2.2,-1.6,-0.8,0.3,2.4,-4.3,-8.6,-1.6,-9.8
4846,11113515,4282,CCNCCCNCCCNCCCNCC,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Inactive,,,,,,,,,-1.5,-0.2,7.1,1.9,23,19.7,21.6,14,19.4,19.8,21.4,17.1,13.9,3.7,-9.8
4847,11113733,7333,CC1=CC=CC=C1NC(=NC2=CC=CC=C2C)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Inactive,,,,,,,,,5.8,-7.4,-10.3,7.9,2.2,22.6,-5.4,20.8,-4.2,4.2,4.6,14,4.4,0.5,-9.8
4848,4237676,3232789,C1CN(CCC12CCN(CC2)C(=O)NC3=CC=CC(=C3)C#N)C(=O)C4=NC=CN=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-0.2,,-6.1,,-10.5,,-1.3,,-6.4,,-9.7
4849,4238224,3233335,CC1=C(C(=NO1)C)C(=O)N2CCC3(CCCN(C3)CC4=NC=CS4)CC2,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-11.4,,0.6,,-0.8,,3,,0.4,,-9.7
4850,4239354,3234461,COC1=CC=C(C=C1)C(=O)N2CCC3(CCN(CC3)C4=CC=CC=N4)CC2,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-0.7,,-10.2,,-3.8,,-2.6,,-10.5,,-9.7
4851,4266507,3247163,CN1C2=C(C=C1C(=O)N(C)C)[C@H]3[C@@H](C2)CN([C@@]3(CC4=CC=C(C=C4)OC)C(=O)OC)C(=O)C5=CC=CC=C5,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,,,,,-2.2,,,,-1,,-2.4,,-3.8,,-1,,-9.7
4852,4266782,5771833,CCC[C@@H]1C[C@@]1(CCC)C(C2=CC(=CC=C2)Cl)NC(=O)C3=CC=CC=C3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,,,,,,,-2.8,,5.9,,2.3,,-2.6,,-11.9,,-9.7
4853,11110646,2915,C(CSSCCN)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,3.9,2.4,-0.2,5,-5.7,5,5.6,-2.5,-2.2,2.8,-2.1,-0.7,-0.4,4.1,-9.7
4854,11110947,1602099,C([C@H](C(=O)O)N)S(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,1.9,-4.7,-6.3,-3.3,-12,-28.7,-2.8,-10.4,-12.5,-10,-3.3,-16.6,-15.5,-9.8,-9.7
4855,11111605,6603963,CCCN1CC[C@H]2[C@H]1CCC3=C2C=C(C=C3)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,8.6,-6.2,-3.2,7,3.1,3.9,7.3,4.8,3.1,1.6,8.1,2.3,3.6,2.3,-9.7
4856,11114322,6604981,CC(C)C[C@@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)NC(=O)[C@@H]1CCCC[C@H]1NC(=O)C[C@H](C(C)C)NC(=O)C[C@H](CC2=CC=CC=C2)NC(=O)[C@@H]3CCCC[C@H]3N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UWisc,,Analysis Verified,Inactive,,,,,,,,,8.9,7.9,-7.1,-0.4,1.5,9.8,0.8,1.4,-11.9,-5,6.2,9,-3.3,-5.5,-9.7
4857,4266656,5771779,C[C@H](CO)NC(=O)[C@@H]1C[C@H]1[C@H](C2=CC=CC=C2)NP(=O)(C3=CC=CC=C3)C4=CC=CC=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,,,,,,,-2.5,,-7.6,,-7.1,,-5.7,,-4.7,,-9.6
4858,11111957,105066,CC[C@]12CCCN3[C@H]1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,3.6,-1.7,-3.2,-1.1,-21,3.2,6.7,3.8,0.1,0.3,3.6,-0.1,-3.1,-2.7,-9.6
4859,11114105,6604872,C[C@@H](NCC1=C2C(=CC(=C1)Br)NC(=O)C(=O)N2)P(=O)(O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Inactive,,,,,,,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0,,-6.1,4.4,4.2,3.8,22.2,19.9,16.8,12,10.5,14.7,17.4,13.7,12.2,8,-9.6
4860,11110672,6603694,CNC(=O)[C@H]1[C@@H]([C@@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,1.8,0.9,2.1,-3.9,-32.4,2.2,-0.7,3.4,-20.1,2.3,5.5,-4.8,-11.3,-8.9,-9.5
4861,11110763,72440,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@H](CCC(=O)O)C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,6.6,8.7,-21.2,-9,-12.2,-0.9,-2.1,-1.7,2.6,-2.1,-0.8,-1.1,-10.8,-6.8,-9.5
4862,11111219,3488,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,10.8,2.3,-5.3,3,-3.8,4.5,0.3,3.5,-4.9,-2.5,0.8,-2.7,-7.3,-1.2,-9.5
4863,11111758,5275,COC1=CC=C(C=C1)C2=N[N+](=C(C=C2)N)CCCC(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,2.3,1.1,-0.8,1.1,-1.1,4.1,-2.9,-4.5,-4,-0.3,7.3,-6.2,-11.6,-2.7,-9.5
4864,11113198,6603983,CC1=C(C(CCC1)(C)C)/C=C\C(=C\C=C/C(=C/C(=O)O)/C)\C,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Timtec,,Analysis Verified,Inactive,,,,,,,,,0.8,-7.4,-4.5,-6,8.9,5.6,4.8,-2.7,-13.3,-1.5,3,-2.7,-5,-7.4,-9.5
4865,4238122,3233233,C1C[C@@]2(CCN(C2)CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)CN(C1)C(=O)C4=CC=NC=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-2.9,,-10.2,,-6.6,,-10.9,,-6.4,,-9.4
4866,4238977,3234084,C1CNCCC12CN(C2)CC3=CC=NC=C3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,1.9,,-1,,-1.8,,0,,-14.9,,-9.4
4867,4239784,3234891,C1CN(CCC12CN(C2)C3=NC=CC=N3)C(=O)C4=NC=CN=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-15.8,,-1.7,,-6,,-5.5,,-4.3,,-9.4
4868,4266434,3247090,COC1=CC=C(C=C1)C[C@@]2([C@@H]3[C@@H](CC4=C3C=C(N4CC5=CC(=C(C(=C5)F)F)F)C(=O)N6CCCC6)CN2C(=O)C7=CC=CC=C7)C(=O)OC,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,,,,,-1.6,,,,-3.8,,-1.8,,-11.1,,-11.8,,-9.4
4869,4266648,3247304,C1CC1CNC(=O)[C@H]2C[C@@H]2[C@@H](C3=CC=CC=C3)NP(=O)(C4=CC=CC=C4)C5=CC=CC=C5,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,,,,,,,-5.5,,-7.2,,-11.4,,-10.5,,-9.6,,-9.4
4870,4266708,3247364,C[C@H]([C@@H]1C[C@@]1(C)[C@H](C2=CC=CC=C2)NS(=O)(=O)C3=CC=CC=C3)C(=O)NC4=CC5=CC=CC=C5C=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Inactive,,,,,,,,,,,,,-1.6,,-3,,-7.5,,-2,,-16.6,,-9.4
4871,11110815,204966,C[N+](C)(C)CCOC(=O)CBr,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,-11.5,0.9,-1.3,5.1,1.5,8.2,-4.5,-9.2,-13.5,-3.7,-3.9,-10.1,-7.6,-0.5,-9.4
4872,11111140,439487,CC(C)C[C@@H](C(=O)NCCCCN=C(N)N)NC(=O)[C@H]1[C@@H](O1)C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,-14,-6,-0.2,12.2,13.5,15.5,-16,-12.5,13.9,11.7,-10.4,-1,0.9,11.3,-9.4
4873,11111330,3696,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,-3.7,-7.9,4.5,-3.3,-8.2,5.9,4.3,-9.8,-3.2,-3.3,-1.1,-8.2,0.1,-5.4,-9.4
4874,11112006,23684974,CC(=O)OCC1=C(N2[C@H]([C@@H](C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)[O-].[Na+],Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Inactive,,,,,,,,,-4.4,-10.1,-1.2,0.2,0.6,4.5,5.8,1.4,-1.4,-3.4,-2.2,-4.1,-8.2,-14.8,-9.4
4875,4237740,3232853,C1CC2(CCNCC2)CN(C1)C(=O)NC3=CC(=CC=C3)F,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,1,,-16.7,,-6.1,,-7.7,,-8.6,,-9.3
4876,4237779,3232892,COC1=CC=CC(=C1)NC2=NC=C3C(=N2)N(C(=O)C(=N3)CCC4=CC=CC=C4)CCC#N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,-7,,,,-1.9,,-5.7,,-9.2,,-8.7,,-9.3
4877,4238385,3233496,C1CN(CCC12CCN(CC2)C(=O)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)CC4=CC=NC=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,0.1,,-7.9,,3.2,,-3.5,,-6.6,,-9.3
4878,4239497,3234604,C1CC2(CCN(CC2)C(=O)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)CN(C1)CC4=CC=CC=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,3.4,,-2.7,,4.6,,0.2,,-5.8,,-9.3
4879,4239514,3234621,COC1=CC=C(C=C1)C2=NC3=CN=C(N=C3N(C2=O)CC4=CC(=CC=C4)OC)N5CCOCC5,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,-10.7,,,,-1.2,,0.5,,-6.5,,-4.2,,-9.3
4880,4239539,3234646,C1CN(CCC12CCN(CC2)S(=O)(=O)C3=CC=CC=C3)CC4=CC=NC=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-1.5,,-6.7,,-10.1,,-7.4,,-9.7,,-9.3
4881,4240020,3235127,CC(C)CN1CCCC2(C1)CCN(CC2)C(=O)C3=NC=CN=C3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Inactive,,,,,,,,,,,,,-6.1,,-5.8,,0.7,,2.1,,-10.6,,-9.3
